cell,theorem,stage,arm,seed,success,qualified_solve,platform_failed,cost,input_tokens,cached_input_tokens,output_tokens,model_requests,tool_advertised_requests,real_snippet_checks,snippet_rejected,snippet_open,snippet_completed,snippet_resource_exhausted,snippet_unknown,snippet_reused,snippet_requests,actual_book_requests,source
snippets-v1__amc12a_2020_p21__validation-A__seed0,amc12a_2020_p21,validation,A,0,False,False,False,0.037183719999999996,287099,177816,9809,18,18,1,0,1,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2020_p21__validation-A__seed0
snippets-v1__imo_1969_p2__validation-A__seed0,imo_1969_p2,validation,A,0,False,False,False,0.03148388,588589,519584,6076,33,33,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__imo_1969_p2__validation-A__seed0
snippets-v1__mathd_numbertheory_461__validation-A__seed0,mathd_numbertheory_461,validation,A,0,True,True,False,0.002136,9498,0,197,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_461__validation-A__seed0
snippets-v1__aime_1984_p7__validation-A__seed0,aime_1984_p7,validation,A,0,False,False,False,0.04602964,151469,23292,16607,12,12,1,1,0,0,0,0,0,1,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__aime_1984_p7__validation-A__seed0
snippets-v1__mathd_numbertheory_43__validation-A__seed0,mathd_numbertheory_43,validation,A,0,False,False,False,0.03687916000000001,409187,312848,9462,27,19,4,1,0,0,2,1,0,4,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_43__validation-A__seed0
snippets-v1__mathd_algebra_190__validation-A__seed0,mathd_algebra_190,validation,A,0,True,True,False,0.0019858,9449,0,80,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_190__validation-A__seed0
snippets-v1__mathd_algebra_421__validation-A__seed0,mathd_algebra_421,validation,A,0,True,True,False,0.0047074,20375,0,527,2,2,2,0,1,1,0,0,0,2,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_421__validation-A__seed0
snippets-v1__mathd_algebra_282__validation-A__seed0,mathd_algebra_282,validation,A,0,False,False,False,0.0369175,451553,346355,7459,27,27,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_282__validation-A__seed0
snippets-v1__aime_1984_p1__writing-0-curator__seed0,aime_1984_p1,writing,0-curator,0,True,False,False,0.0011033999999999998,4287,0,205,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__aime_1984_p1__writing-0-curator__seed0
snippets-v1__amc12_2000_p1__writing-0-curator__seed0,amc12_2000_p1,writing,0-curator,0,True,False,False,0.0010513999999999999,4183,0,179,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12_2000_p1__writing-0-curator__seed0
snippets-v1__amc12a_2020_p13__writing-0-curator__seed0,amc12a_2020_p13,writing,0-curator,0,True,False,False,0.0013326,5421,0,207,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12a_2020_p13__writing-0-curator__seed0
snippets-v1__amc12b_2004_p3__writing-0-curator__seed0,amc12b_2004_p3,writing,0-curator,0,True,False,False,0.0009896,3682,0,211,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12b_2004_p3__writing-0-curator__seed0
snippets-v1__aime_1984_p1__writing-0-reducer__seed0,aime_1984_p1,writing,0-reducer,0,True,False,False,0.0021966,9663,0,220,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__aime_1984_p1__writing-0-reducer__seed0
snippets-v1__aime_1984_p1__writing-0-reflector__seed0,aime_1984_p1,writing,0-reflector,0,True,False,False,0.008013999999999999,38798,0,212,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__aime_1984_p1__writing-0-reflector__seed0
snippets-v1__amc12_2000_p1__writing-0-reflector__seed0,amc12_2000_p1,writing,0-reflector,0,True,False,False,0.0042978,19413,0,346,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12_2000_p1__writing-0-reflector__seed0
snippets-v1__amc12a_2020_p13__writing-0-reflector__seed0,amc12a_2020_p13,writing,0-reflector,0,True,False,False,0.005626999999999999,26323,0,302,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12a_2020_p13__writing-0-reflector__seed0
snippets-v1__amc12b_2004_p3__writing-0-reflector__seed0,amc12b_2004_p3,writing,0-reflector,0,True,False,False,0.004536,20958,0,287,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__amc12b_2004_p3__writing-0-reflector__seed0
snippets-v1__imo_1968_p5_1__writing-1-curator__seed0,imo_1968_p5_1,writing,1-curator,0,True,False,False,0.0011324,4246,0,236,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__imo_1968_p5_1__writing-1-curator__seed0
snippets-v1__mathd_algebra_224__writing-1-curator__seed0,mathd_algebra_224,writing,1-curator,0,True,False,False,0.0009553999999999999,3511,0,211,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_algebra_224__writing-1-curator__seed0
snippets-v1__mathd_algebra_28__writing-1-curator__seed0,mathd_algebra_28,writing,1-curator,0,True,False,False,0.0008738,3097,0,212,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_algebra_28__writing-1-curator__seed0
snippets-v1__mathd_numbertheory_629__writing-1-curator__seed0,mathd_numbertheory_629,writing,1-curator,0,True,False,False,0.0009209999999999999,3465,0,190,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_numbertheory_629__writing-1-curator__seed0
snippets-v1__imo_1968_p5_1__writing-1-reducer__seed0,imo_1968_p5_1,writing,1-reducer,0,True,False,False,0.0014927999999999999,6396,0,178,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__imo_1968_p5_1__writing-1-reducer__seed0
snippets-v1__imo_1968_p5_1__writing-1-reflector__seed0,imo_1968_p5_1,writing,1-reflector,0,True,False,False,0.005043799999999999,23191,0,338,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__imo_1968_p5_1__writing-1-reflector__seed0
snippets-v1__mathd_algebra_224__writing-1-reflector__seed0,mathd_algebra_224,writing,1-reflector,0,True,False,False,0.0049006,23093,0,235,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_algebra_224__writing-1-reflector__seed0
snippets-v1__mathd_algebra_28__writing-1-reflector__seed0,mathd_algebra_28,writing,1-reflector,0,True,False,False,0.0014108,5440,0,269,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_algebra_28__writing-1-reflector__seed0
snippets-v1__mathd_numbertheory_629__writing-1-reflector__seed0,mathd_numbertheory_629,writing,1-reflector,0,True,False,False,0.0038745999999999997,17987,0,231,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/writing/configs/snippets-v1__mathd_numbertheory_629__writing-1-reflector__seed0
