stage,arm,stopping_allowance,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,baseline,saving_vs_same_cap,saving_vs_same_cap_interval,solve_difference_vs_same_cap,saving_vs_ordinary_ten_cents,saving_vs_ordinary_ten_cents_interval,solve_difference_vs_ordinary_ten_cents,dominated_by_a_matched_nonace_budget,preparation_cost,cost_including_preparation_at_measured_n,cost_including_preparation_interval,break_even_problems_at_same_cap,problems_for_ten_percent_total_saving_at_same_cap
validation,B2,0.075,80,51,25.5,1.69703508,1.69703508,1.69703508,True,0.84851754,0.03327519764705882,B0,0.028188129153933872,"[0.028188129153933872, 0.028188129153933872]",1.0,0.08898536175219374,"[0.08898536175219374, 0.08898536175219374]",1.0,False,44.71989878,46.41693386,"[46.41693386, 46.41693386]",72681,
validation,B2,0.09,80,52,26.0,1.7938077000000001,1.7938077000000001,1.7938077000000001,True,0.8969038500000001,0.03449630192307693,B0,0.02214171185989211,"[0.02214171185989211, 0.02214171185989211]",1.5,0.037035184386624787,"[0.037035184386624787, 0.037035184386624787]",1.5,False,44.71989878,46.51370648,"[46.51370648, 46.51370648]",88081,
validation,B2,0.1,80,52,26.0,1.80228558,1.80228558,1.80228558,True,0.90114279,0.03465933807692308,B0,0.03248402756474689,"[0.03248402756474689, 0.03248402756474689]",1.5,0.03248402756474689,"[0.03248402756474689, 0.03248402756474689]",1.5,False,44.71989878,46.522184360000004,"[46.522184360000004, 46.522184360000004]",59123,
validation,O1,0.05,80,55,27.5,1.47902182,1.47902182,1.47902182,True,0.73951091,0.026891305818181818,A0,0.043499803668135106,"[0.043499803668135106, 0.043499803668135106]",0.0,0.15693595967411134,"[0.15693595967411134, 0.15693595967411134]",-0.5,False,23.46235247,24.94137429,"[24.94137429, 24.94137429]",27906,
validation,O1,0.075,80,56,28.0,1.58575407,1.58575407,1.58575407,True,0.792877035,0.028317036964285714,A0,0.0737350239196547,"[0.0737350239196547, 0.0737350239196547]",0.0,0.09609701821882388,"[0.09609701821882388, 0.09609701821882388]",0.0,False,23.46235247,25.04810654,"[25.04810654, 25.04810654]",14870,
validation,O1,0.09,80,56,28.0,1.63852108,1.63852108,1.63852108,True,0.81926054,0.029259305000000003,A0,0.06601905179198875,"[0.06601905179198875, 0.06601905179198875]",0.0,0.06601905179198875,"[0.06601905179198875, 0.06601905179198875]",0.0,False,23.46235247,25.10087355,"[25.10087355, 25.10087355]",16207,
validation,O1,0.1,80,56,28.0,1.67463898,1.67463898,1.67463898,True,0.83731949,0.0299042675,A0,0.045431321245804845,"[0.045431321245804845, 0.045431321245804845]",0.0,0.045431321245804845,"[0.045431321245804845, 0.045431321245804845]",0.0,False,23.46235247,25.13699145,"[25.13699145, 25.13699145]",23551,
validation,P1,0.05,80,49,24.5,1.4730329,1.4730329,1.4730329,True,0.73651645,0.030061895918367346,A0,0.04737290620006118,"[0.04737290620006118, 0.04737290620006118]",-3.0,0.16034973154962606,"[0.16034973154962606, 0.16034973154962606]",-3.5,False,2.09789942,3.57093232,"[3.57093232, 3.57093232]",2292,
validation,P1,0.075,80,50,25.0,1.60907045,1.60907045,1.60907045,True,0.804535225,0.032181409,A0,0.060115543716787956,"[0.060115543716787956, 0.060115543716787956]",-3.0,0.082806341054525,"[0.082806341054525, 0.082806341054525]",-3.0,True,2.09789942,3.70696987,"[3.70696987, 3.70696987]",1631,
validation,P1,0.09,80,50,25.0,1.68645702,1.68645702,1.68645702,True,0.84322851,0.033729140399999996,A0,0.0386948658288504,"[0.0386948658288504, 0.0386948658288504]",-3.0,0.0386948658288504,"[0.0386948658288504, 0.0386948658288504]",-3.0,True,2.09789942,3.78435644,"[3.78435644, 3.78435644]",2473,
validation,P1,0.1,80,50,25.0,1.70540656,1.70540656,1.70540656,True,0.85270328,0.034108131199999996,A0,0.027893351247600395,"[0.027893351247600395, 0.027893351247600395]",-3.0,0.027893351247600395,"[0.027893351247600395, 0.027893351247600395]",-3.0,True,2.09789942,3.80330598,"[3.80330598, 3.80330598]",3430,
validation,S1,0.05,80,55,27.5,1.72812986,1.72812986,1.72812986,True,0.86406493,0.03142054290909091,A0,-0.11760119291340687,"[-0.11760119291340687, -0.11760119291340687]",0.0,0.014940738345961546,"[0.014940738345961546, 0.014940738345961546]",-0.5,True,1.7553568899999998,3.48348675,"[3.48348675, 3.48348675]",,
validation,S1,0.075,80,55,27.5,1.90376605,1.90376605,1.90376605,True,0.951883025,0.03461392818181818,A0,-0.11202099248960051,"[-0.11202099248960051, -0.11202099248960051]",-0.5,-0.08517445533579604,"[-0.08517445533579604, -0.08517445533579604]",-0.5,True,1.7553568899999998,3.6591229399999996,"[3.6591229399999996, 3.6591229399999996]",,
validation,S1,0.09,80,55,27.5,1.94269714,1.94269714,1.94269714,True,0.97134857,0.03532176618181818,A0,-0.10736574527206666,"[-0.10736574527206666, -0.10736574527206666]",-0.5,-0.10736574527206666,"[-0.10736574527206666, -0.10736574527206666]",-0.5,True,1.7553568899999998,3.6980540299999998,"[3.6980540299999998, 3.6980540299999998]",,
validation,S1,0.1,80,55,27.5,1.95597527,1.95597527,1.95597527,True,0.977987635,0.035563186727272725,A0,-0.11493447331542472,"[-0.11493447331542472, -0.11493447331542472]",-0.5,-0.11493447331542472,"[-0.11493447331542472, -0.11493447331542472]",-0.5,True,1.7553568899999998,3.7113321599999995,"[3.7113321599999995, 3.7113321599999995]",,
