campaign,stage,label,platform_errors,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
ace_adaptation_x-offline,train,step12_generator_{theorem},0,1,1,1,1.0,0.0014055499999999998,0.0014055499999999998,0,1,1,0,0.0014055499999999998,0.0013563499999999999,4.9199999999999997e-05,0
ace_adaptation_x-offline,train,step13_generator_{theorem},0,1,1,1,1.0,0.00061618,0.00061618,0,1,0,0,0.00061618,0.00039778,0.0002184,0
ace_adaptation_x-offline,train,step14_generator_{theorem},0,1,1,0,0.0,0.025410610000000004,,0.025410610000000004,32,0,0,0.025410610000000004,0.01631461,0.009096000000000002,0
ace_adaptation_x-offline,train,step15_generator_{theorem},0,1,1,1,1.0,0.0018638499999999998,0.0018638499999999998,0,1,0,0,0.0018638499999999998,0.0014438499999999998,0.00041999999999999996,0
ace_adaptation_x-offline,train,step16_generator_{theorem},0,1,1,1,1.0,0.0026470799999999996,0.0026470799999999996,0,4,0,0,0.0026470799999999996,0.0020086799999999997,0.0006384,0
ace_adaptation_x-offline,train,step17_generator_{theorem},0,1,1,1,1.0,0.04797149999999999,0.04797149999999999,0,31,0,0,0.04797149999999999,0.0217203,0.026251200000000002,0
ace_adaptation_x-offline,train,step18_generator_{theorem},0,1,1,1,1.0,0.01664701,0.01664701,0,9,0,0,0.01664701,0.00594301,0.010704,0
ace_adaptation_x-offline,train,step19_generator_{theorem},0,1,1,1,1.0,0.02957391,0.02957391,0,15,0,0,0.02957391,0.019517909999999996,0.010056,0
ace_adaptation_x-offline,train,step20_generator_{theorem},0,1,1,1,1.0,0.09050852999999999,0.09050852999999999,0,28,0,0,0.09050852999999999,0.04053813,0.049970400000000005,0
ace_adaptation_x-offline,train,step21_generator_{theorem},0,1,1,0,0.0,0.05653043999999998,,0.05653043999999998,32,0,0,0.05653043999999998,0.028344840000000003,0.0281856,0
ace_adaptation_x-offline,train,step22_generator_{theorem},0,1,1,1,1.0,0.03704177,0.03704177,0,22,0,0,0.03704177,0.015105770000000003,0.021935999999999997,0
ace_adaptation_x-offline,train,step23_generator_{theorem},0,1,1,1,1.0,0.018544639999999998,0.018544639999999998,0,7,1,0,0.018544639999999998,0.006711439999999999,0.011833199999999999,0
ace_adaptation_x-offline,train,step24_generator_{theorem},0,1,1,0,0.0,0.07602321,,0.07602321,32,0,0,0.07602321,0.04238361,0.03363959999999999,0
ace_adaptation_x-offline,train,step25_generator_{theorem},0,1,1,1,1.0,0.01826831,0.01826831,0,14,0,0,0.01826831,0.010938709999999999,0.0073295999999999995,0
ace_adaptation_x-offline,train,step26_generator_{theorem},0,1,1,1,1.0,0.010958359999999999,0.010958359999999999,0,8,0,0,0.010958359999999999,0.005788759999999999,0.0051696,0
ace_adaptation_x-offline,train,step27_generator_{theorem},0,1,1,1,1.0,0.00506489,0.00506489,0,3,0,0,0.00506489,0.0026924899999999996,0.0023723999999999998,0
ace_adaptation_x-offline,train,step28_generator_{theorem},0,1,1,0,0.0,0.08851853000000003,,0.08851853000000003,32,0,0,0.08851853000000003,0.062440129999999996,0.026078399999999998,0
ace_adaptation_x-offline,train,step29_generator_{theorem},0,1,1,1,1.0,0.015378059999999999,0.015378059999999999,0,16,0,0,0.015378059999999999,0.00774246,0.007635599999999999,0
ace_adaptation_x-offline,train,step30_generator_{theorem},0,1,1,1,1.0,0.00207945,0.00207945,0,1,0,0,0.00207945,0.00182385,0.0002556,0
ace_adaptation_x-offline,train,step31_generator_{theorem},0,1,1,0,0.0,0.10563895000000001,,0.10563895000000001,31,0,0,0.10563895000000001,0.03552174999999999,0.0701172,0
ace_adaptation_x-offline,train,step32_generator_{theorem},0,1,1,1,1.0,0.00288172,0.00288172,0,3,0,0,0.00288172,0.00109852,0.0017832,0
ace_adaptation_x-offline,train,step33_generator_{theorem},0,1,1,1,1.0,0.014216989999999999,0.014216989999999999,0,12,0,0,0.014216989999999999,0.005375389999999999,0.008841599999999998,0
ace_adaptation_x-offline,train,step34_generator_{theorem},0,1,1,0,0.0,0.11467644999999999,,0.11467644999999999,30,0,0,0.11467644999999999,0.06837685,0.046299599999999996,0
